Event label;Date;LatitudeEvent;LatitudeEvent2;LongitudeEvent;LongitudeEvent2;Depth, water [m];Type of experiment [];Anoplogaster cornuta;Anoplogaster cornuta [g];Anoplogaster cornuta [g/m3];Arctozenus risso;Arctozenus risso [g];Arctozenus risso [g/m3];Argyropelecus hemigymnus;Argyropelecus hemigymnus [g];Argyropelecus hemigymnus [g/m3];Argyropelecus olfersii;Argyropelecus olfersii [g];Argyropelecus olfersii [g/m3];Astronesthes niger;Astronesthes niger [g];Astronesthes niger [g/m3];Avocettina infans;Avocettina infans [g];Avocettina infans [g/m3];Barbantus curvifrons;Barbantus curvifrons [g];Barbantus curvifrons [g/m3];Bathylagichthys greyae;Bathylagichthys greyae [g];Bathylagichthys greyae [g/m3];Bathylagus;Bathylagus [g];Bathylagus [g/m3];Bathylagus euryops;Bathylagus euryops [g];Bathylagus euryops [g/m3];Benthosema glaciale;Benthosema glaciale [g];Benthosema glaciale [g/m3];Beryx splendens;Beryx splendens [g];Beryx splendens [g/m3];Bolinichthys indicus;Bolinichthys indicus [g];Bolinichthys indicus [g/m3];Bolinichthys supralateralis;Bolinichthys supralateralis [g];Bolinichthys supralateralis [g/m3];Borostomias antarcticus;Borostomias antarcticus [g];Borostomias antarcticus [g/m3];Ceratoscopelus maderensis;Ceratoscopelus maderensis [g];Ceratoscopelus maderensis [g/m3];Chauliodus sloani;Chauliodus sloani [g];Chauliodus sloani [g/m3];Cyclothone;Cyclothone [g];Cyclothone [g/m3];Derichthys;Derichthys [g];Derichthys [g/m3];Derichthys serpentinus;Derichthys serpentinus [g];Derichthys serpentinus [g/m3];Diaphus;Diaphus [g];Diaphus [g/m3];Diaphus dumerilii;Diaphus dumerilii [g];Diaphus dumerilii [g/m3];Diaphus metopoclampus;Diaphus metopoclampus [g];Diaphus metopoclampus [g/m3];Diaphus mollis;Diaphus mollis [g];Diaphus mollis [g/m3];Dolicholagus longirostris;Dolicholagus longirostris [g];Dolicholagus longirostris [g/m3];Dolichopteryx longipes;Dolichopteryx longipes [g];Dolichopteryx longipes [g/m3];Electrona risso;Electrona risso [g];Electrona risso [g/m3];Entelurus aequoreus;Entelurus aequoreus [g];Entelurus aequoreus [g/m3];Eurypharynx pelecanoides;Eurypharynx pelecanoides [g];Eurypharynx pelecanoides [g/m3];Evermannella balbo;Evermannella balbo [g];Evermannella balbo [g/m3];Gadiculus argenteus;Gadiculus argenteus [g];Gadiculus argenteus [g/m3];Gonostoma elongatum;Gonostoma elongatum [g];Gonostoma elongatum [g/m3];Holtbyrnia anomala;Holtbyrnia anomala [g];Holtbyrnia anomala [g/m3];Holtbyrnia macrops;Holtbyrnia macrops [g];Holtbyrnia macrops [g/m3];Howella atlantica;Howella atlantica [g];Howella atlantica [g/m3];Lampadena atlantica;Lampadena atlantica [g];Lampadena atlantica [g/m3];Lampadena speculigera;Lampadena speculigera [g];Lampadena speculigera [g/m3];Lampadena urophaos;Lampadena urophaos [g];Lampadena urophaos [g/m3];Lampanyctus;Lampanyctus [g];Lampanyctus [g/m3];Lampanyctus crocodilus;Lampanyctus crocodilus [g];Lampanyctus crocodilus [g/m3];Lampanyctus festivus;Lampanyctus festivus [g];Lampanyctus festivus [g/m3];Lampanyctus macdonaldi;Lampanyctus macdonaldi [g];Lampanyctus macdonaldi [g/m3];Leptostomias gladiator;Leptostomias gladiator [g];Leptostomias gladiator [g/m3];Lestidiops affinis;Lestidiops affinis [g];Lestidiops affinis [g/m3];Lestidiops sphyrenoides;Lestidiops sphyrenoides [g];Lestidiops sphyrenoides [g/m3];Lobianchia gemellarii;Lobianchia gemellarii [g];Lobianchia gemellarii [g/m3];Lyconus brachycolus;Lyconus brachycolus [g];Lyconus brachycolus [g/m3];Macroparalepis affinis;Macroparalepis affinis [g];Macroparalepis affinis [g/m3];Magnisudis atlantica;Magnisudis atlantica [g];Magnisudis atlantica [g/m3];Malacosteus niger;Malacosteus niger [g];Malacosteus niger [g/m3];Maulisia argipalla;Maulisia argipalla [g];Maulisia argipalla [g/m3];Maulisia mauli;Maulisia mauli [g];Maulisia mauli [g/m3];Maulisia microlepis;Maulisia microlepis [g];Maulisia microlepis [g/m3];Maurolicus muelleri;Maurolicus muelleri [g];Maurolicus muelleri [g/m3];Melanolagus bericoides;Melanolagus bericoides [g];Melanolagus bericoides [g/m3];Melanonus zugmayeri;Melanonus zugmayeri [g];Melanonus zugmayeri [g/m3];Melanostigma atlanticum;Melanostigma atlanticum [g];Melanostigma atlanticum [g/m3];Melanostomias bartonbeani;Melanostomias bartonbeani [g];Melanostomias bartonbeani [g/m3];Mentodus rostratus;Mentodus rostratus [g];Mentodus rostratus [g/m3];Myctophidae;Myctophidae [g];Myctophidae [g/m3];Myctophum punctatum;Myctophum punctatum [g];Myctophum punctatum [g/m3];Nannobrachium;Nannobrachium [g];Nannobrachium [g/m3];Nannobrachium atrum;Nannobrachium atrum [g];Nannobrachium atrum [g/m3];Nansenia;Nansenia [g];Nansenia [g/m3];Nansenia oblita;Nansenia oblita [g];Nansenia oblita [g/m3];Neonesthes capensis;Neonesthes capensis [g];Neonesthes capensis [g/m3];Nessorhamphus ingolfianus;Nessorhamphus ingolfianus [g];Nessorhamphus ingolfianus [g/m3];Normichthys operosus;Normichthys operosus [g];Normichthys operosus [g/m3];Notoscopelus kroyeri;Notoscopelus kroyeri [g];Notoscopelus kroyeri [g/m3];Oneirodes anisacanthus;Oneirodes anisacanthus [g];Oneirodes anisacanthus [g/m3];Oneirodes carlsbergi;Oneirodes carlsbergi [g];Oneirodes carlsbergi [g/m3];Parabrotulidae;Parabrotulidae [g];Parabrotulidae [g/m3];Paralepis coregonoides;Paralepis coregonoides [g];Paralepis coregonoides [g/m3];Photostomias guernei;Photostomias guernei [g];Photostomias guernei [g/m3];Photostylus pycnopterus;Photostylus pycnopterus [g];Photostylus pycnopterus [g/m3];Platytroctidae;Platytroctidae [g];Platytroctidae [g/m3];Polymetme thaeocoryla;Polymetme thaeocoryla [g];Polymetme thaeocoryla [g/m3];Poromitra megalops;Poromitra megalops [g];Poromitra megalops [g/m3];Pseudoscopelus altipinnis;Pseudoscopelus altipinnis [g];Pseudoscopelus altipinnis [g/m3];Pseudoscopelus astronesthidens;Pseudoscopelus astronesthidens [g];Pseudoscopelus astronesthidens [g/m3];Pseudoscopelus pierbartus;Pseudoscopelus pierbartus [g];Pseudoscopelus pierbartus [g/m3];Rhadinesthes decimus;Rhadinesthes decimus [g];Rhadinesthes decimus [g/m3];Rondeletia loricata;Rondeletia loricata [g];Rondeletia loricata [g/m3];Rouleina attrita;Rouleina attrita [g];Rouleina attrita [g/m3];Sagamichthys schnakenbecki;Sagamichthys schnakenbecki [g];Sagamichthys schnakenbecki [g/m3];Scopelengys tristis;Scopelengys tristis [g];Scopelengys tristis [g/m3];Scopelogadus beanii;Scopelogadus beanii [g];Scopelogadus beanii [g/m3];Searsia koefoedi;Searsia koefoedi [g];Searsia koefoedi [g/m3];Serrivomer beanii;Serrivomer beanii [g];Serrivomer beanii [g/m3];Sigmops bathyphilus;Sigmops bathyphilus [g];Sigmops bathyphilus [g/m3];Sternoptyx diaphana;Sternoptyx diaphana [g];Sternoptyx diaphana [g/m3];Stomias boa boa;Stomias boa boa [g];Stomias boa boa [g/m3];Taaningichthys bathyphilus;Taaningichthys bathyphilus [g];Taaningichthys bathyphilus [g/m3];Xenodermichthys copei;Xenodermichthys copei [g];Xenodermichthys copei [g/m3]
G0344;15/10/2002;44,3114;44,3432;-2,393;-2,4634;500;field experiment;0;0;0;13;53,1;0,00000575;6;4;0,00000043;73;529;0,00005732;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;15;0,00000163;0;0;0;0;0;0;0;0;0;0;0;0;7;15;0,00000163;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0,00000011;0;0;0;0;0;0;0;0;0;1;27;0,00000293;0;0;0;0;0;0;2;7;0,00000076;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;32;0,00000347;0;0;0;0;0;0;0;0;0;1;2;0,00000022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;44;346;0,00003749
G0349;16/10/2002;44,5425;44,5754;-2,3261;-2,4045;200;field experiment;0;0;0;5;21;0,00000209;3;2;0,0000002;55;398;0,00003962;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;0,0000004;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0,0000001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;7;0,0000007;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;17;0,00000169;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;36;0,00000358;0;0;0;0;0;0;1;18;0,00000179;0;0;0;27;212;0,0000211
G0354;17/10/2002;44,7182;44,7211;-2,4449;-2,4712;2000;field experiment;0;0;0;5;21;0,00000717;0;0;0;6;44;0,00001502;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;67;0,00002287;105;91;0,00003106;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;51;0,00001741;4;2;0,00000068;0;0;0;0;0;0;0;0;0;0;0;0;1;2,8;0,00000096;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0,00000068;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;46;323;0,00011023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;17;0,0000058;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0,00000034;0;0;0;0;0;0;0;0;0;0;0;0;3;;        ;0;0;0;1;3;0,00000102;0;0;0;3;20;0,00000683;0;0;0;0;0;0;0;0;0;0;0;0;9;92;0,0000314;22;36;0,00001229;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;19;0,00000648;1;36;0,00001229;2;1;0,00000034;0;0;0;1;18;0,00000614;0;0;0;26;205;0,00006996
G0365;19/10/2002;44,9651;44,9043;-2,512;-2,5743;20;field experiment;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;441;381;0,00003274;0;0;0;0;0;0;0;0;0;0;0;0;21;46;0,00000395;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0,00000009;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;2;0,00000017;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;17;0,00000146;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;12;0,00000103;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
G0370;20/10/2002;45,5283;45,4708;-3,6989;-3,6936;1000;field experiment;1;33;0,0000037;3;13;0,00000146;1;1;0,00000011;5;36;0,00000403;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;95;82;0,00000918;0;0;0;0;0;0;0;0;0;0;0;0;4;9;0,00000101;0;0;0;7;7;0,00000078;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;61;0,00000683;0;0;0;1;6;0,00000067;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;99;0,00001109;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;86;0,00000963;0;0;0;0;0;0;0;0;0;0;0;0;1;7;0,00000078;3;39;0,00000437;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0,00000011;1;27;0,00000302;1;;        ;0;0;0;2;7;0,00000078;0;0;0;11;74;0,00000829;0;0;0;0;0;0;0;0;0;0;0;0;3;30;0,00000336;15;709;0,00007941;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;6;0,00000067;0;0;0;0;0;0;1;18;0,00000202;7;249;0,00002789;0;0;0;1;1;0,00000011;2;36;0,00000403;1;3;0,00000034;15;118;0,00001322
G0380;23/10/2002;45,9662;45,9354;-4,1031;-4,1811;1000;field experiment;0;0;0;8;33;0,00000341;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;55;47;0,00000486;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;15;0,00000155;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31;218;0,00002256;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;34;0,00000352;0;0;0;3;4;0,00000041;0;0;0;0;0;0;0;0;0;0;0;0;2;127;0,00001314;0;0;0;0;0;0;0;0;0;2;2;0,00000021;0;0;0;0;0;0;0;0;0;2;7;0,00000072;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29;47;0,00000486;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;249;0,00002576;0;0;0;0;0;0;10;182;0,00001883;1;3;0,00000031;17;133;0,00001376
G0399;28/10/2002;46,0219;45,9821;-4,3083;-4,3667;1400;field experiment;1;33;0,00000375;5;20;0,00000227;0;0;0;4;29;0,00000329;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;11;0,00000125;79;68;0,00000772;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0,00000023;0;0;0;2;2;0,00000023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;5;0,00000057;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;112;0,00001272;0;0;0;2;6;0,00000068;0;0;0;0;0;0;0;0;0;11;47;0,00000534;0;0;0;2;3;0,00000034;0;0;0;0;0;0;1;7;0,00000079;0;0;0;0;0;0;1;1;0,00000011;0;0;0;0;0;0;0;0;0;1;27;0,00000307;0;0;0;0;0;0;7;24;0,00000273;0;0;0;6;40;0,00000454;0;0;0;0;0;0;0;0;0;0;0;0;56;569;0,00006462;20;32;0,00000363;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0,00000011;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;71;0,00000806;0;0;0;0;0;0;9;163;0,00001851;0;0;0;14;110;0,00001249
