years;Code_Station;Aphanopus carbo;Arctozenus risso;Argyropelecus hemigymnus;Argyropelecus olfersii;Bathylagichthys greyae;Bathylagus euryops;Benthosema glaciale;Bolinichthys supralateralis;Borostomias antarcticus;Ceratoscopelus maderensis;Chauliodus sloani;Cyclothone;Derichthys serpentinus;Diaphus metopoclampus;Dolicholagus longirostris;Entelurus aequoreus;Eurypharynx pelecanoides;Evermannella balbo;Gonostoma elongatum;Holtbyrnia anomala;Holtbyrnia macrops;Lampanyctus crocodilus;Lampanyctus macdonaldi;Lestidiops sphyrenoides;Lobianchia gemellarii;Macroparalepis affinis;Malacosteus niger;Maulisia argipalla;Maulisia mauli;Maulisia microlepis;Maurolicus muelleri;Melanostigma atlanticum;Melanostomias bartonbeani;Mentodus rostratus;Myctophum punctatum;Nannobrachium atrum;Normichthys operosus;Notoscopelus bolini;Notoscopelus kroyeri;Paralepis coregonoides;Photostylus pycnopterus;Sagamichthys schnakenbecki;Searsia koefoedi;Serrivomer beanii;Sigmops bathyphilus;Stomias boa boa;Taaningichthys bathyphilus;Xenodermichthys copei
2002;G0344;0;13;6;73;0;0;17;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;2;0;0;0;20;1;0;0;0;0;0;0;0;44
2002;G0349;0;5;3;55;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;11;0;0;0;0;1;0;1;0;27
2002;G0354;0;5;0;6;0;6;105;0;0;0;1;4;0;1;0;0;1;0;0;0;0;46;0;0;4;0;0;0;0;0;2;0;0;3;1;3;9;0;22;0;0;0;1;1;2;1;0;26
2002;G0365;0;0;0;0;0;0;441;0;0;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;5;0;0;0;5;0;0;0;7;0;0;0;0;0;0;0;0;0
2002;G0370;0;3;1;5;0;0;95;0;0;4;0;7;0;0;0;0;0;0;1;0;1;14;0;0;20;0;0;1;3;0;0;1;1;1;2;11;3;0;15;0;0;1;1;7;0;2;1;15
2002;G0380;0;8;0;0;0;0;55;0;0;0;0;15;0;0;0;0;0;0;0;0;0;31;0;0;8;3;0;0;0;2;0;2;0;0;2;0;0;0;29;0;0;0;0;7;0;10;1;17
2002;G0399;0;5;0;4;0;1;79;0;0;1;0;2;0;0;0;0;0;0;0;0;1;16;2;0;11;2;0;1;0;0;1;0;1;0;7;6;56;0;20;0;1;0;0;2;0;9;0;14
2003;H0400;0;3;0;6;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;204;0;0;0;9;0;0;0;45;0;0;0;0;0;0;1;0;174
2003;H0411;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;1;0;0;63;0;0;0;0;0;0;0;0;65
2003;H0419;0;55;10;11;0;0;11;0;0;6;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;4;0;0;0;0;0;0;0;0;14;0;0;0;7;0;0;0;0;0;0;4;0;32
2003;H0425;0;5;66;115;0;0;4;0;0;2;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;1;0;0;8;0;0;0;0;0;0;2;0;9
2003;H0431;0;41;19;21;0;0;5;0;0;1;0;3;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;9;0;4;0;45
2003;H0467;0;0;0;11;0;0;40;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;9;1;0;0;33;0;0;0;0;0;0;0;0;6
2007;L0731;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2007;L0736;0;0;0;0;0;0;40;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
2007;L0742;0;0;0;0;0;0;0;0;0;5;0;1;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;3;0;0
2007;L0747;2;14;0;22;6;47;233;0;3;123;2;27;0;0;0;0;11;0;0;10;0;78;22;0;4;0;4;1;3;1;0;1;0;0;11;48;110;0;27;1;3;0;3;14;30;14;0;34
2007;L0752;0;1;0;24;1;0;9;0;0;605;0;0;0;0;0;0;0;0;0;0;0;16;0;0;30;0;0;0;0;0;0;0;0;0;34;3;0;0;2;0;0;1;0;0;0;4;0;90
2007;L0761;0;32;1;8;0;0;2;0;0;8;0;0;0;0;0;0;0;0;0;0;0;232;0;0;0;0;0;0;0;0;70;0;0;0;4;0;0;0;50;0;0;0;0;0;0;25;0;104
2007;L0766;0;0;0;0;0;0;40;0;0;166;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;3;0;0;0;0;0;0;4;0;0
2008;M0855;0;46;3;28;0;0;4;0;0;5;0;0;1;0;0;0;0;0;0;0;0;24;0;0;0;1;0;0;0;0;0;0;0;0;15;0;0;0;14;0;0;0;0;1;0;12;0;80
2008;M0862;0;11;2;7;0;0;25;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;13;0;0;0;0;0;0;18;0;80
2008;M0876;0;0;0;0;0;0;1;0;0;34;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;197;0;0;0;12;0;0;0;0;0;0;2;0;0
2008;M0881;0;49;0;40;0;0;3;0;0;52;0;0;0;0;0;1;0;0;0;0;1;113;0;0;0;0;0;0;0;0;0;0;0;0;24;0;0;0;56;0;0;0;0;0;0;16;0;100
2008;M0887;0;1;1;1;0;0;16;0;0;3;0;2;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;5;0;1;0;4;0;0;1;0;0;0;6;0;4
2008;M0892;0;36;1;2;0;0;1;0;0;9;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;49;0;0;0;15;0;0;0;0;0;0;9;0;62
2010;O0959;0;16;5;1;0;0;50;0;0;98;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;0;0;2;1;0;0;27;0;0;0;0;0;0;1;0;13
2010;O0964;0;37;4;15;0;0;101;0;0;116;0;70;0;1;0;0;0;0;1;0;0;129;0;0;2;1;0;0;0;0;25;6;0;0;21;0;0;0;12;0;0;0;3;3;0;19;0;16
2010;O0969;0;1;2;1;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;11;0;0;0;16;0;0;0;0;0;0;3;0;0
2010;O0978;0;20;8;12;0;35;612;0;11;32;0;160;1;0;0;0;0;0;0;1;0;45;9;0;1;0;2;0;1;1;6;1;0;0;25;10;11;0;6;0;1;0;0;9;10;11;1;5
2010;O0983;0;26;6;47;0;0;16;0;1;63;0;0;0;0;0;0;0;0;0;0;0;86;0;0;1;0;0;0;0;0;3;0;0;0;3;0;0;0;8;0;0;0;2;4;0;7;0;47
2010;O0995;1;24;0;3;0;0;63;0;0;8;0;27;1;0;0;0;0;0;0;0;0;105;0;0;0;0;0;0;0;0;6;23;0;0;0;0;0;0;13;0;0;0;1;1;0;5;0;64
2011;P1048;1;69;0;7;0;0;54;0;2;21;1;52;1;1;0;0;0;0;0;0;3;138;0;0;14;0;0;3;0;0;3;0;1;0;88;4;2;0;49;4;0;5;1;13;0;15;3;0
2011;P1053;0;38;1;9;0;7;822;0;5;34;0;147;0;0;1;0;2;1;0;1;2;81;1;0;7;1;1;0;0;0;4;5;0;0;22;26;76;0;19;4;1;0;0;9;2;15;3;20
2011;P1062;0;67;1;10;0;0;277;0;1;14;0;58;0;0;0;0;0;0;0;0;0;66;0;0;3;3;0;0;0;0;22;6;0;0;98;1;0;0;33;3;0;0;6;11;2;23;0;21
2011;P1067;4;48;2;2;0;0;552;0;0;36;3;56;0;1;0;0;3;0;0;0;1;136;1;0;1;8;0;1;1;0;8;1;0;0;67;10;37;0;50;3;0;1;0;7;0;29;1;52
2011;P1072;4;37;2;7;0;0;1106;2;1;8;4;78;0;0;0;0;0;0;0;0;0;163;4;0;0;0;1;0;4;0;28;5;0;0;14;38;55;0;24;4;1;0;3;29;2;19;0;37
2016;U0508;0;12;1;1;0;0;5;0;0;1;0;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;120;0;0;0;7;0;0;0;34;0;0;0;0;0;0;3;0;94
2016;U0514;0;25;2;2;0;0;72;0;0;3;0;367;1;1;0;0;0;0;0;0;0;97;0;0;3;0;0;0;0;0;2668;6;0;0;9;4;0;0;172;0;0;1;3;4;0;6;0;72
2016;U0519;0;72;2;11;0;0;91;0;0;12;0;138;2;0;0;0;0;1;0;0;0;72;0;0;0;0;0;0;1;0;10;4;1;0;31;11;0;0;32;0;0;0;2;4;0;5;1;44
2016;U0524;1;61;0;3;0;0;93;0;0;5;0;58;1;0;0;0;0;0;1;0;0;73;0;0;0;0;0;0;0;0;170;7;0;0;19;1;0;0;27;0;0;0;3;3;0;6;0;61
2016;U0530;0;61;2;1;0;0;364;8;0;1;0;302;0;1;0;0;0;0;1;0;0;117;0;0;0;0;0;0;0;0;272;51;0;0;16;3;0;0;8;0;0;1;10;3;0;7;0;90
2016;U0536;0;71;1;4;0;0;31;0;0;7;0;119;0;0;0;0;0;0;0;0;0;36;0;2;0;0;0;0;0;0;77;0;0;0;14;0;0;0;16;0;0;0;0;1;0;3;0;101
2016;U0541;3;53;3;9;0;0;67;0;1;3;0;451;0;0;0;0;0;0;0;0;0;94;0;0;0;0;0;0;0;0;3898;20;1;0;75;3;0;0;22;0;0;1;5;0;0;10;0;48
2017;V0494;3;14;1;10;0;0;3;1;1;7;3;22;1;0;1;0;0;4;1;0;8;94;0;0;5;0;0;5;0;0;1;1;1;0;18;13;0;0;20;0;0;0;8;15;0;6;0;54
2018;W0534;4;32;0;13;0;0;18;0;0;7;0;16;0;0;0;0;0;0;0;0;0;57;0;15;0;0;0;0;5;0;8;5;0;0;16;0;0;0;21;7;0;3;3;1;0;4;0;58
2018;W0545;3;25;0;8;0;0;6;0;1;12;0;32;0;0;0;0;0;0;0;0;0;48;0;1;0;0;0;0;0;0;0;7;0;0;20;3;0;0;3;7;0;2;3;0;0;0;0;45
2018;W0551;0;13;3;21;0;77;48;0;1;5;0;22;0;0;0;0;3;0;0;0;0;40;37;0;0;0;0;0;0;6;13;0;1;0;9;3;24;0;10;0;0;0;1;3;22;4;0;8
2018;W0562;1;13;2;1;0;0;51;0;0;0;0;37;0;0;0;0;0;1;0;0;0;86;0;0;0;0;0;0;1;0;3;7;0;0;4;0;0;0;10;0;0;0;11;3;0;1;0;55
2018;W0568;0;31;13;27;0;0;7;0;0;10;1;0;0;0;0;0;0;0;0;0;0;127;0;0;0;0;1;0;0;0;2;0;0;0;11;0;0;0;27;0;0;2;0;2;0;6;0;94
2019;X0447;0;6;0;32;0;0;6;0;1;10;0;15;1;0;0;0;0;0;0;0;5;44;0;0;0;1;0;0;0;0;4;3;2;0;8;0;0;0;35;0;0;0;0;1;0;6;0;47
2019;X0453;3;3;0;18;0;0;15;0;2;0;0;54;0;0;0;0;0;0;0;0;6;63;0;0;0;1;0;0;0;0;8;14;0;0;4;0;0;0;9;1;0;0;2;3;0;3;0;137
2019;X0458;4;11;0;8;0;0;36;0;0;3;1;27;0;0;0;0;0;0;0;0;4;40;0;0;0;0;0;1;0;0;2;2;0;0;43;5;0;0;17;0;0;0;0;2;0;2;0;28
2019;X0464;3;3;0;6;0;0;37;0;1;2;0;36;0;0;0;0;0;0;1;0;3;46;0;0;0;0;0;0;0;0;48;0;0;0;8;4;0;0;11;0;0;0;3;1;0;3;0;47
2019;X0470;4;6;0;7;0;0;37;0;0;0;0;54;0;0;0;0;0;0;0;0;2;36;0;0;0;0;0;0;0;0;20;5;0;0;42;1;0;0;18;0;0;0;0;0;0;7;0;54
2019;X0476;0;11;0;2;0;0;70;1;0;1;2;92;0;0;0;0;0;0;0;0;0;44;0;0;0;2;0;0;0;0;131;14;0;0;29;1;0;0;15;3;0;0;14;6;0;5;0;66
2021;Z0492;0;26;0;11;0;0;11;0;0;1;0;0;0;0;0;0;0;0;0;0;0;63;0;0;0;0;0;0;0;0;7;0;4;0;17;0;0;0;170;0;0;0;0;0;0;5;0;105
2021;Z0497;1;8;0;11;0;9;102;1;3;3;2;582;2;0;0;0;1;0;0;0;0;50;31;2;1;0;1;0;0;0;532;2;2;5;43;5;0;10;24;2;3;0;1;12;3;5;0;21
2021;Z0503;0;14;1;5;0;0;61;0;0;6;1;451;0;0;0;0;0;0;0;0;0;89;0;6;0;0;0;0;0;0;147;2;1;0;37;0;0;9;73;0;0;10;2;4;0;4;0;57
2021;Z0508;0;0;0;0;0;0;58;0;0;1;1;0;0;0;3;0;0;0;0;0;0;0;0;16;0;0;0;0;0;0;3360;0;1;0;26;0;0;73;198;0;0;0;0;0;0;0;0;0
2021;Z0512;0;15;0;13;0;0;3;0;0;3;0;2;0;0;1;0;0;1;0;0;0;69;0;0;0;0;0;0;0;0;0;2;0;0;26;2;0;0;30;0;0;0;0;0;0;0;0;106
2021;Z0518;1;9;0;8;0;0;96;0;0;1;0;640;0;0;0;0;0;2;0;0;0;120;1;2;0;0;1;16;0;0;2400;12;0;0;25;9;4;1;159;0;1;1;15;6;0;1;0;52
2021;Z0524;0;6;0;4;0;0;617;0;0;0;3;262;0;0;0;0;0;2;1;0;0;84;3;2;0;0;3;3;0;0;0;81;0;0;11;4;1;0;28;0;1;1;5;4;0;1;0;36
2022;A1497;0;23;4;48;0;0;9;0;0;0;2;0;0;0;0;0;0;0;0;0;0;51;0;1;0;0;0;0;0;0;3;0;1;0;2;0;0;0;17;0;0;0;1;1;0;2;0;74
2022;A1508;0;25;0;5;0;0;16;0;0;2;0;0;1;0;0;0;0;1;0;0;0;60;0;2;0;0;0;2;0;0;1;3;0;0;6;2;0;3;35;1;0;0;13;2;0;2;0;36
2022;A1513;0;5;0;15;0;0;39;0;0;1;1;12;0;0;0;0;3;0;0;0;0;41;3;0;3;0;1;0;2;0;1;6;1;0;1;12;13;0;12;2;4;1;2;3;0;2;0;5
